English,Polish
desperately,rozpaczliwie
despite,pomimo
destination,miejsce docelowe
destroy,zniszczyć
destruction,zniszczenie
destructive,destrukcyjny
detail,szczegół
detail,szczegół
detailed,szczegółowy
detain,zatrzymanie
detect,wykrycie
detection,wykrywanie
detective,detektyw
detention,zatrzymanie
deteriorate,pogorszyć się
determination,determinacja
determine,określać
determined,określony
devastate,zniszczyć
develop,rozwijać się
development,rozwój
device,urządzenie
devil,diabeł
devise,obmyślać
devote,poświęcenie
diagnose,diagnoza
diagnosis,diagnoza
diagram,wykres
dialogue,dialog
diamond,diament
diary,pamiętnik
dictate,dyktować
dictator,dyktator
dictionary,słownik
die,umierać
diet,dieta
differ,różnić się
difference,różnica
different,inny
differentiate,rozróżniać
differently,inaczej
difficult,trudny
difficulty,trudność
dig,kopać
digital,cyfrowy
dignity,godność
dilemma,dylemat
dimension,wymiar
diminish,zmniejszać się
dinner,kolacja
dip,zanurzenie
diplomat,dyplomata
diplomatic,dyplomatyczny
direct,bezpośredni
direct,bezpośredni
direct,bezpośredni
direction,kierunek
directly,bezpośrednio
director,dyrektor
directory,katalog
dirt,brud
dirty,brudny
disability,niepełnosprawność
disabled,wyłączony
disadvantage,wada
disagree,nie zgadzać się
disagreement,niezgoda
disappear,zniknąć
disappoint,rozczarowanie
disappointed,rozczarowany
disappointing,rozczarowujący
disappointment,rozczarowanie
disaster,katastrofa
disastrous,katastrofalny
disc,dysk
discard,odrzut
discharge,absolutorium
discipline,dyscyplina
disclose,ujawniać
disclosure,ujawnienie
discount,rabat
discount,rabat
discourage,zniechęcać
discourse,dyskurs
discover,odkrycie
discovery,odkrycie
discretion,dyskrecja
discrimination,dyskryminacja
discuss,dyskutować
discussion,dyskusja
disease,choroba
dish,danie
dishonest,nieuczciwy
disk,dysk
dislike,niechęć
dislike,niechęć
dismiss,zwolnienie
dismissal,zwolnienie
disorder,zaburzenie
displace,wypierać
display,wyświetlacz
display,wyświetlacz
disposal,utylizacja
dispose,utylizacja
dispute,spór
dispute,spór
disrupt,zakłócać
disruption,zakłócenie
dissolve,rozpuszczać się
distance,odległość
distant,odległy
distinct,wyraźny
distinction,wyróżnienie
distinctive,charakterystyczny
distinguish,rozróżniać
distort,zniekształcenie
distract,rozproszenie
distress,niepokój
distress,niepokój
distribute,dystrybucja
distribution,dystrybucja
district,okręg
disturb,przeszkadzać
disturbing,niepokojący
dive,nurkowanie
dive,nurkowanie
diverse,zróżnicowany
diversity,różnorodność
divert,przekierowanie
divide,podział
divide,podział
divine,boski
division,podział
divorce,rozwód
divorce,rozwód
divorced,rozwiedziony
do,robić
do,robić
doctor,lekarz
doctrine,doktryna
document,dokument
document,dokument
documentary,dokument
documentation,dokumentacja
dog,pies
dollar,dolar
domain,domena
domestic,krajowy
dominance,dominacja
dominant,dominujący
dominate,dominować
donate,darowizna
donation,darowizna
donor,dawca
door,drzwi
dose,dawka
dot,kropka
double,podwójny
double,podwójny
double,podwójny
double,podwójny
double,podwójny
doubt,wątpliwość
doubt,wątpliwość
down,w dół
down,w dół
download,pobieranie
download,pobieranie
downstairs,na dole
downstairs,na dole
downtown,centrum miasta
downtown,centrum miasta
downtown,centrum miasta
downwards,w dół
dozen,tuzin
dozen,tuzin
draft,projekt
draft,projekt
drag,przeciąganie
drain,odpływ
drama,dramat
dramatic,dramatyczny
dramatically,dramatycznie
draw,losowanie
drawing,rysunek
dream,marzenie
dream,marzenie
dress,sukienka
dress,sukienka
dressed,ubrany
drift,dryf
drink,napój
drink,napój
drive,napęd
drive,napęd
driver,kierowca
driving,jazda
driving,jazda
drop,spadek
drop,spadek
drought,susza
drown,utonąć
drug,lek
drum,bęben
drunk,pijany
dry,suchy
dry,suchy
dual,podwójny
dub,dub
due,należny
dull,nudny
dumb,głupi
dump,wysypisko
duo,duet
duration,czas trwania
during,podczas
dust,pył
duty,obowiązek
DVD,DVD
dynamic,dynamiczny
dynamic,dynamiczny
each,każdy
each,każdy
each,każdy
eager,chętny
ear,ucho
early,wczesny
early,wczesny
earn,zarabiać
earnings,zarobki
earth,ziemia
earthquake,trzęsienie ziemi
ease,łatwość
ease,łatwość
easily,łatwo
east,wschód
east,wschód
east,wschód
eastern,wschodni
easy,łatwy
eat,jeść
echo,echo
echo,echo
ecological,ekologiczny
economic,ekonomiczny
economics,ekonomia
economist,ekonomista
economy,ekonomia
edge,krawędź
edit,edytować
edition,edycja
editor,redaktor
editorial,redakcyjny
educate,kształcić
educated,wykształcony
education,edukacja
educational,edukacyjny
educator,wychowawca
effect,efekt
effective,skuteczny
effectively,skutecznie
effectiveness,efektywność
efficiency,efektywność
efficient,skuteczny
efficiently,efektywnie
effort,wysiłek
egg,jajko
ego,ego
eight,osiem
eighteen,osiemnaście
eighty,osiemdziesiąt
either,albo
either,albo
either,albo
elaborate,opracowanie
elbow,łokieć
elderly,osoby starsze
elect,wybrany
election,wybory
electoral,wyborczy
electric,elektryczny
electrical,elektryczny
electricity,elektryczność
electronic,elektroniczny
electronics,elektronika
elegant,elegancki
element,element
elementary,elementarny
elephant,słoń
elevate,podnieść
eleven,jedenaście
eligible,uprawniony
eliminate,wyeliminować
elite,elita
else,inny
elsewhere,gdzie indziej
email,e-mail
email,e-mail
embark,embark
embarrassed,zakłopotany
embarrassing,kłopotliwy
embarrassment,zakłopotanie
embassy,ambasada
embed,osadzony
embody,ucieleśnienie
embrace,uścisk
emerge,pojawić się
emergence,pojawienie się
emergency,nagły wypadek
emission,emisja
emotion,emocja
emotional,emocjonalny
emotionally,emocjonalnie
emphasis,nacisk
emphasize,podkreślać
empire,imperium
empirical,empiryczny
employ,zatrudniać
employee,pracownik
employer,pracodawca
employment,zatrudnienie
empower,uprawnienie
empty,pusty
empty,pusty
enable,włączyć
enact,uchwalać
encompass,obejmować
encounter,spotkanie
encounter,spotkanie
encourage,zachęcać
encouragement,zachęta
encouraging,zachęcający
end,koniec
end,koniec
endeavour,wysiłek
ending,zakończenie
endless,nieskończony
endorse,poparcie
endorsement,poparcie
endure,wytrzymać
enemy,wróg
energy,energia
enforce,egzekwować
enforcement,egzekwowanie
engage,zaangażowanie
engaged,zaangażowany
engagement,zaangażowanie
engaging,angażujący
engine,silnik
engineer,inżynier
engineering,inżynieria
enhance,wzmocnienie
enjoy,cieszyć się
enjoyable,przyjemny
enormous,ogromny
enough,wystarczająco
enough,wystarczająco
enough,wystarczająco
enquire,zapytanie
enquiry,zapytanie
enrich,bogaty
enrol,zapisać się
ensue,kontynuować
ensure,zapewnić
enter,wejść
enterprise,przedsiębiorstwo
entertain,rozrywka
entertaining,rozrywka
entertainment,rozrywka
enthusiasm,entuzjazm
enthusiast,entuzjasta
enthusiastic,entuzjastyczny
entire,całość
entirely,całkowicie
entitle,tytuł
entity,podmiot
entrance,wejście
entrepreneur,przedsiębiorca
entry,wejście
envelope,koperta
environment,środowisko
environmental,środowiskowy
epidemic,epidemia
episode,odcinek
equal,równy
equal,równy
equal,równy
equality,równość
equally,jednakowo
equation,równanie
equip,wyposażenie
equipment,wyposażenie
equivalent,odpowiednik
equivalent,odpowiednik
era,era
erect,wyprostowany
error,błąd
erupt,wybuch
escalate,eskalować
escape,ucieczka
escape,ucieczka
especially,zwłaszcza
essay,esej
essence,istota
essential,niezbędny
essentially,zasadniczo
establish,ustanowienie
establishment,ustanowienie
estate,majątek
estimate,szacunek
estimate,szacunek
eternal,wieczny
ethic,etyka
ethical,etyczny
ethnic,etniczny
euro,euro
evacuate,ewakuować się
evaluate,oceniać
evaluation,ocena
even,nawet
even,nawet
evening,wieczór
event,wydarzenie
eventually,w końcu
ever,kiedykolwiek
every,każdy
everybody,wszyscy
everyday,codzienny
everyone,każdy
everything,wszystko
everywhere,wszędzie
evidence,dowód
evident,oczywisty
evil,zło
evil,zło
evoke,wywoływać
evolution,ewolucja
evolutionary,ewolucyjny
evolve,ewoluować
exact,dokładny
exactly,dokładnie
exaggerate,przesadzać
exam,egzamin
examination,badanie
examine,badanie
example,przykład
exceed,przekraczać
excellence,doskonałość
excellent,doskonały
except,z wyjątkiem
except,z wyjątkiem
exception,wyjątek
exceptional,wyjątkowy
excess,nadmiar
excess,nadmiar
excessive,nadmierny
exchange,wymiana
exchange,wymiana
excited,podekscytowany
excitement,podniecenie
exciting,ekscytujący
exclude,wykluczyć
exclusion,wykluczenie
exclusive,ekskluzywny
exclusively,wyłącznie
excuse,wymówka
excuse,wymówka
execute,wykonać
execution,wykonanie
executive,wykonawczy
executive,wykonawczy
exercise,ćwiczenie
exercise,ćwiczenie
exert,wywierać
exhibit,wystawa
exhibit,wystawa
exhibition,wystawa
exile,wygnanie
exist,istnieć
existence,istnienie
exit,wyjście
exit,wyjście
exotic,egzotyczny
expand,rozwinąć się
expansion,ekspansja
expect,oczekiwać
expectation,oczekiwanie
expected,oczekiwany
expedition,wyprawa
expenditure,wydatki
expense,wydatek
expensive,drogi
experience,doświadczenie
experience,doświadczenie
experienced,doświadczony
experiment,eksperyment
experiment,eksperyment
experimental,eksperymentalny
expert,ekspert
expert,ekspert
expertise,ekspertyza
expire,wygaśnięcie
explain,wyjaśniać
explanation,wyjaśnienie
explicit,wyraźny
explicitly,wyraźnie
explode,eksplodować
exploit,wykorzystanie
exploitation,eksploatacja
exploration,eksploracja
explore,odkrywać
explosion,wybuch
explosive,wybuchowy
explosive,wybuchowy
export,eksport
export,eksport
expose,ekspozycja
exposure,ekspozycja
express,ekspresowy
expression,wyrażenie
extend,rozszerzenie
extension,rozszerzenie
extensive,obszerny
extensively,szeroko
extent,zakres
external,zewnętrzny
extra,ekstra
extra,ekstra
extra,ekstra
extract,wyciąg
extract,wyciąg
extraordinary,nadzwyczajny
extreme,ekstremalny
extreme,ekstremalny
extremely,niezwykle
extremist,ekstremista
eye,oko
fabric,tkanina
fabulous,bajeczny
face,twarz
face,twarz
facilitate,ułatwienie
facility,obiekt
fact,fakt
faction,frakcja
factor,czynnik
factory,fabryka
faculty,wydział
fade,zanikanie
fail,zawieść
failed,nieudany
failure,awaria
fair,uczciwy
fairly,sprawiedliwie
fairness,sprawiedliwość
faith,wiara
fake,fałszywy
fall,spadek
fall,spadek
false,fałszywy
fame,sława
familiar,znajomy
family,rodzina
family,rodzina
famous,sławny
fan,fan
fancy,fantazyjny
fancy,fantazyjny
fantastic,fantastyczny
fantasy,fantazja
far,daleko
far,daleko
fare,taryfa
farm,farma
farm,farma
farmer,rolnik
farming,rolnictwo
fascinating,fascynujący
fashion,moda
fashionable,modny
fast,szybki
fast,szybki
fasten,zapięcie
fat,tłuszcz
fat,tłuszcz
fatal,fatalny
fate,los
father,ojciec
fault,błąd
favour,przysługa
favour,przysługa
favourable,korzystny
favourite,ulubiony
favourite,ulubiony
fear,strach
fear,strach
feat,wyczyn
feather,pióro
feature,cecha
feature,cecha
February,Luty
federal,federalny
fee,opłata
feed,pasza
feed,pasza
feedback,informacja zwrotna
feeding,karmienie
feel,odczucie
feel,odczucie
feeling,uczucie
fellow,kolega
female,kobieta
female,kobieta
feminist,feministka
feminist,feministka
fence,ogrodzenie
festival,festiwal
fever,gorączka
few,niewiele
few,niewiele
few,niewiele
fibre,włókno
fiction,fikcja
field,pole
fierce,zaciekły
fifteen,piętnaście
fifth,piąty
fifty,pięćdziesiąt
fight,walka
fight,walka
fighting,walka
figure,liczba
figure,liczba
file,plik
file,plik
fill,wypełnienie
film,film
film,film
film-maker,filmowiec
filter,filtr
filter,filtr
final,finał
final,finał
finally,w końcu
finance,finanse
finance,finanse
financial,finansowy
find,znaleźć
finding,odkrycie
fine,w porządku
fine,w porządku
fine,w porządku
finger,palec
finish,wykończenie
finish,wykończenie
fire,ogień
fire,ogień
firearm,broń palna
firefighter,strażak
firework,fajerwerk
firm,firma
firm,firma
firmly,zdecydowanie
first,pierwszy
first,pierwszy
first,pierwszy
first,pierwszy
firstly,po pierwsze
fish,ryba
fish,ryba
fishing,wędkarstwo
fit,dopasowanie
fit,dopasowanie
fit,dopasowanie
fitness,fitness
five,pięć
fix,poprawka
fix,poprawka
fixed,stały
fixture,mocowanie
flag,flaga
flame,płomień
flash,błysk
flash,błysk
flat,płaski
flat,płaski
flavour,smak
flaw,wada
flawed,wadliwy
flee,uciekać
fleet,flota
flesh,miąższ
flexibility,elastyczność
flexible,elastyczny
flight,lot
float,pływak
flood,powódź
flood,powódź
floor,podłoga
flour,mąka
flourish,rozkwitać
flow,przepływ
flow,przepływ
flower,kwiat
flu,grypa
fluid,płyn
fly,latać
fly,latać
flying,latanie
flying,latanie
focus,ostrość
focus,ostrość
fold,zagięcie
fold,zagięcie
folding,składanie
folk,ludowy
folk,ludowy
follow,śledzić
following,następujący
following,następujący
following,następujący
fond,pieszczota
food,jedzenie
fool,głupiec
foot,stopa
footage,materiał filmowy
football,piłka nożna
for,dla
forbid,zabronić
force,siła
force,siła
forecast,prognoza
forecast,prognoza
foreign,zagraniczny
foreigner,cudzoziemiec
forest,las
forever,na zawsze
forge,kuźnia
forget,zapomnieć
forgive,wybaczać
fork,widelec
form,forma
form,forma
formal,formalny
format,format
formation,formacja
former,były
formerly,dawniej
formula,formuła
formulate,formułować
forth,naprzód
forthcoming,nadchodzący
fortunate,szczęśliwy
fortunately,na szczęście
fortune,szczęście
forty,czterdzieści
forum,forum
forward,do przodu
forward,do przodu
fossil,skamielina
foster,zastępca
found,znaleziony
foundation,fundacja
founder,założyciel
four,cztery
fourteen,czternaście
fourth,czwarty
fraction,frakcja
fragile,delikatny
fragment,fragment
frame,ramka
frame,ramka
framework,ramy
franchise,franczyza
frankly,szczerze
fraud,oszustwo
free,darmowy
free,darmowy
free,darmowy
freedom,wolność
freely,swobodnie
freeze,zamrożenie
frequency,częstotliwość
frequent,częsty
frequently,często
fresh,świeży
Friday,Piątek
fridge,lodówka
friend,przyjaciel
friendly,przyjazny
friendship,przyjaźń
frighten,straszyć
frightened,przestraszony
frightening,przerażający
frog,żaba
from,z
front,przód
front,przód
frozen,zamrożony
fruit,owoc
frustrated,sfrustrowany
frustrating,frustrujący
frustration,frustracja
fry,narybek
fuel,paliwo
fuel,paliwo
fulfil,spełnienie
full,pełny
full-time,w pełnym wymiarze godzin
full-time,w pełnym wymiarze godzin
fully,w pełni
fun,zabawa
fun,zabawa
function,funkcja
function,funkcja
functional,funkcjonalny
fund,fundusz
fund,fundusz
fundamental,fundamentalny
fundamentally,zasadniczo
funding,finansowanie
fundraising,zbieranie funduszy
funeral,pogrzeb
funny,zabawny
fur,futro
furious,wściekły
furniture,meble
further,dalej
further,dalej
furthermore,ponadto
future,przyszłość
future,przyszłość
gain,zysk
gain,zysk
gallery,galeria
gallon,galon
gambling,hazard
game,gra
gaming,gra
gang,gang
gap,luka
garage,garaż
garden,ogród
gas,gaz
gate,brama
gather,gromadzić się
gathering,gromadzenie
gay,gej
gaze,spojrzenie
gaze,spojrzenie
gear,sprzęt
gender,płeć
gene,gen
general,ogólny
generally,ogólnie
generate,generować
generation,generacja
generic,ogólny
generous,hojny
genetic,genetyczny
genius,geniusz
genocide,ludobójstwo
genre,gatunek
gentle,łagodny
gentleman,dżentelmen
genuine,autentyczny
genuinely,rzeczywiście
geography,geografia
gesture,gest
get,uzyskać
ghost,duch
giant,gigant
giant,gigant
gift,prezent
gig,koncert
girl,dziewczyna
girlfriend,dziewczyna
give,dawać
glad,zadowolony
glance,spojrzenie
glance,spojrzenie
glass,szkło
glimpse,spojrzenie
global,globalny
globalization,globalizacja
globe,glob
glorious,chwalebny
glory,chwała
glove,rękawica
go,iść
go,iść
goal,cel
god,bóg
gold,złoto
gold,złoto
golden,złoty
golf,golf
good,dobry
good,dobry
goodbye,pożegnanie
goodbye,pożegnanie
goodness,dobroć
goods,towary
gorgeous,wspaniały
govern,rządzić
governance,zarządzanie
government,rząd
governor,gubernator
grab,chwyt
grace,łaska
grade,gatunek
grade,gatunek
gradually,stopniowo
graduate,absolwent
graduate,absolwent
grain,ziarno
grand,wielki
grandfather,dziadek
grandmother,babcia
grandparent,dziadek
grant,dotacja
grant,dotacja
graphic,grafika
graphics,grafika
grasp,chwyt
grasp,chwyt
grass,trawa
grateful,wdzięczny
grave,grób
grave,grób
gravity,grawitacja
great,świetny
greatly,znacznie
green,zielony
green,zielony
greenhouse,szklarnia
greet,pozdrowienie
grey,szary
grey,szary
grid,siatka
grief,żal
grin,uśmiech
grin,uśmiech
grind,szlifować
grip,przyczepność
grip,przyczepność
grocery,spożywczy
gross,brutto
ground,ziemia
group,grupa
grow,rosnąć
growth,wzrost
guarantee,gwarancja
guarantee,gwarancja
guard,strażnik
guard,strażnik
guerrilla,partyzantka
guess,przypuszczenie
guess,przypuszczenie
guest,gość
guidance,wytyczne
guide,przewodnik
guide,przewodnik
guideline,wytyczna
guilt,wina
guilty,winny
guitar,gitara
gun,pistolet
gut,jelito
guy,facet
gym,siłownia
habit,nawyk
habitat,siedlisko
hail,grad
hair,włosy
half,połowa
half,połowa
half,połowa
half,połowa
halfway,w połowie drogi
hall,hala
halt,zatrzymanie
halt,zatrzymanie
hand,ręka
hand,ręka
handful,garść
handle,uchwyt
handle,uchwyt
handling,obsługa
handy,poręczny
hang,wisieć
happen,zdarzyć się
happily,szczęśliwie
happiness,szczęście
happy,szczęśliwy
harassment,nękanie
harbour,port
hard,twardy
hard,twardy
hardly,mało
hardware,sprzęt
harm,krzywda
harm,krzywda
harmful,szkodliwy
harmony,harmonia
harsh,surowy
harvest,zbiory
harvest,zbiory
hat,kapelusz
hate,nienawiść
hate,nienawiść
hatred,nienawiść
haunt,nawiedzenie
have,mieć
have,mieć
have to,mieć
hazard,zagrożenie
he,on
head,głowa
head,głowa
headache,ból głowy
headline,nagłówek
headquarters,centrala
heal,leczyć
health,zdrowie
healthcare,opieka zdrowotna
healthy,zdrowy
hear,słyszeć
hearing,przesłuchanie
heart,serce
heat,ciepło
heat,ciepło
heating,ogrzewanie
heaven,niebo
heavily,mocno
heavy,ciężki
heel,pięta
height,wysokość
heighten,wzrost
helicopter,helikopter
hell,piekło
hello,cześć
hello,cześć
helmet,kask
help,pomoc
help,pomoc
helpful,pomocny
hence,stąd
her,ona
her,ona
herb,zioło
here,tutaj
heritage,dziedzictwo
hero,bohater
hers,ona
herself,ona sama
hesitate,wahać się
hey,hej
hi,cześć
hidden,ukryty
hide,ukrycie
hierarchy,hierarchia
high,wysoki
high,wysoki
high,wysoki
high-profile,głośny
highlight,wyróżnienie
highlight,wyróżnienie
highly,wysoko
highway,autostrada
hilarious,zabawny
hill,wzgórze
him,on
himself,sam
hint,wskazówka
hint,wskazówka
hip,biodro
hire,wynajem
hire,wynajem
his,jego
his,jego
historian,historyk
historic,historyczny
historical,historyczny
history,historia
hit,trafienie
hit,trafienie
hobby,hobby
hockey,hokej
hold,trzymać
hold,trzymać
hole,dziura
holiday,święto
hollow,zagłębienie
holy,święty
home,dom
home,dom
home,dom
homeland,ojczyzna
homeless,bezdomny
homework,praca domowa
honest,uczciwy
honesty,uczciwość
honour,honor
honour,honor
hook,hak
hook,hak
hope,nadzieja
hope,nadzieja
hopeful,pełen nadziei
hopefully,miejmy nadzieję
horizon,horyzont
horn,róg
horrible,okropny
horror,horror
horse,koń
hospital,szpital
host,gospodarz
host,gospodarz
hostage,zakładnik
hostile,wrogi
hostility,wrogość
hot,gorący
hotel,hotel
hour,godzina
house,dom
house,dom
household,gospodarstwo domowe
housing,obudowa
how,jak
however,jednak
huge,ogromny
human,człowiek
human,człowiek
humanitarian,humanitarny
humanity,człowieczeństwo
humble,skromny
humorous,humorystyczny
humour,humor
hundred,sto
hunger,głód
hungry,głodny
hunt,polowanie
hunt,polowanie
hunting,polowanie
hurricane,huragan
hurry,pośpiech
hurry,pośpiech
hurt,zraniony
hurt,zraniony
hurt,zraniony
husband,mąż
hydrogen,wodór
hypothesis,hipoteza
I,I
ice,lód
ice cream,lody
icon,ikona
ID,ID
idea,pomysł
ideal,idealny
ideal,idealny
identical,identyczny
identification,identyfikacja
identify,identyfikować
identity,tożsamość
ideological,ideologiczny
ideology,ideologia
idiot,idiota
if,jeśli
ignorance,ignorancja
ignore,ignorować
ill,chory
illegal,nielegalny
illness,choroba
illusion,iluzja
illustrate,zilustrować
illustration,ilustracja
image,obraz
imagery,obraz
imaginary,wyimaginowany
imagination,wyobraźnia
imagine,wyobrażać sobie
immediate,natychmiastowy
immediately,natychmiast
immense,ogromny
immigrant,imigrant
immigration,imigracja
imminent,nieuchronny
immune,odporność
impact,wpływ
impact,wpływ
impatient,niecierpliwy
implement,wdrożenie
implementation,wdrożenie
implication,implikacja
imply,sugerować
import,import
import,import
importance,znaczenie
important,ważny
impose,nakładać
impossible,niemożliwe
impress,imponować
impressed,pod wrażeniem
impression,wrażenie
impressive,imponujący
imprison,więzienie
imprisonment,pozbawienie wolności
improve,poprawa
improvement,poprawa
in,w
in,w
inability,niezdolność
inadequate,nieodpowiedni
inappropriate,nieodpowiedni
incentive,zachęta
inch,cal
incidence,występowanie
incident,incydent
inclined,skłonny
include,zawierać
included,w zestawie
including,w tym
inclusion,włączenie
income,dochód
incorporate,włączony
incorrect,nieprawidłowy
increase,wzrost
increase,wzrost
increasingly,coraz bardziej
incredible,niesamowity
incredibly,niewiarygodnie
incur,ponosić
indeed,rzeczywiście
independence,niezależność
independent,niezależny
index,indeks
indicate,wskazywać
indication,wskazanie
indicator,wskaźnik
indictment,akt oskarżenia
indigenous,rdzenny
indirect,pośredni
individual,indywidualny
individual,indywidualny
indoor,kryty
indoors,w pomieszczeniach
induce,indukować
indulge,pobłażać
industrial,przemysłowy
industry,przemysł
inequality,nierówność
inevitable,nieunikniony
inevitably,nieuchronnie
infamous,niesławny
infant,niemowlę
infect,infekować
infection,infekcja
infer,wnioskować
inflation,inflacja
inflict,zadawać
influence,wpływ
influence,wpływ
influential,wpływowy
info,info
inform,informacja
informal,nieformalny
information,informacja
infrastructure,infrastruktura
ingredient,składnik
inhabitant,mieszkaniec
inherent,nieodłączny
inherit,dziedziczyć
inhibit,hamować
initial,początkowy
initially,początkowo
initiate,inicjować
initiative,inicjatywa
inject,zastrzyk
injection,wtrysk
injure,zranić
injured,ranny
injury,uraz
injustice,niesprawiedliwość
ink,atrament
inmate,więzień
inner,wewnętrzny
innocent,niewinny
innovation,innowacja
innovative,innowacyjny
input,wkład
inquiry,zapytanie
insect,owad
insert,wkładka
insertion,wstawienie
inside,wewnątrz
inside,wewnątrz
inside,wewnątrz
inside,wewnątrz
insider,insider
insight,wgląd
insist,nalegać
inspect,kontrola
inspection,kontrola
inspector,inspektor
inspiration,inspiracja
inspire,inspirować
install,instalacja
installation,instalacja
instance,instancja
instant,natychmiastowy
instantly,natychmiast
instead,zamiast tego
instinct,instynkt
institute,instytut
institution,instytucja
institutional,instytucjonalny
instruct,instrukcja
instruction,instrukcja
instructor,instruktor
instrument,instrument
instrumental,instrumentalny
insufficient,niewystarczający
insult,obraza
insult,obraza
insurance,ubezpieczenie
intact,nienaruszony
intake,spożycie
integral,integralny
integrate,zintegrować
integrated,zintegrowany
integration,integracja
integrity,integralność
intellectual,intelektualny
intellectual,intelektualny
intelligence,inteligencja
intelligent,inteligentny
intend,zamierzony
intended,zamierzony
intense,intensywny
intensify,nasilać się
intensity,intensywność
intensive,intensywny
intent,zamiar
intention,zamiar
interact,interakcja
interaction,interakcja
interactive,interaktywny
interest,zainteresowanie
interest,zainteresowanie
interested,zainteresowany
interesting,interesujący
interface,interfejs
interfere,przeszkadzać
interference,ingerencja
interim,przejściowy
interior,wnętrze
interior,wnętrze
intermediate,pośredni
internal,wewnętrzny
international,międzynarodowy
internet,internet
interpret,interpretacja
interpretation,interpretacja
interrupt,przerwać
interval,interwał
intervene,interweniować
intervention,interwencja
interview,wywiad
interview,wywiad
intimate,intymny
into,do
intriguing,intrygujący
introduce,wprowadzenie
introduction,wprowadzenie
invade,inwazja
invasion,inwazja
invent,wymyślać
invention,wynalazek
invest,inwestować
investigate,zbadać
investigation,dochodzenie
investigator,badacz
investment,inwestycja
investor,inwestor
invisible,niewidoczny
invitation,zaproszenie
invite,zaproszenie
invoke,wywołanie
involve,obejmować
involved,zaangażowany
involvement,zaangażowanie
iron,żelazo
iron,żelazo
ironic,ironiczny
ironically,ironicznie
irony,ironia
irrelevant,nieistotny
island,wyspa
isolate,izolat
isolated,izolowany
isolation,izolacja
issue,wydanie
issue,wydanie
IT,IT
it,to
item,pozycja
its,jego
itself,sam
jacket,kurtka
jail,więzienie
jail,więzienie
jam,zacięcie
January,Styczeń
jazz,jazz
jeans,dżinsy
jet,strumień
jewellery,biżuteria
job,praca
join,dołączyć
joint,połączenie
joint,połączenie
joke,żart
joke,żart
journal,dziennik
journalism,dziennikarstwo
journalist,dziennikarz
journey,podróż
joy,radość
judge,sędzia
judge,sędzia
judgement,wyrok
judicial,sądowy
juice,sok
July,Lipiec
jump,skok
jump,skok
junction,połączenie
June,Czerwiec
junior,junior
jurisdiction,jurysdykcja
jury,jury
just,po prostu
just,po prostu
justice,sprawiedliwość
